Date,Time,Latitude (DD),Longitude (DD),GPS Alt (m),ETS Triggered,BMP180 Temp (*C),BMP180 Pressure (Pa),BMP180 Alt (m),CO2 (ppm),OZ (ppb),CH4 (ppm),UV Index,One-Wire Temp (*F),Red Pressure Temp (*C),Red Pressure Temp (*F),Red Pressure (mb),Red Alt (m),Red Alt Change from Startup (m)
02/19/2023,15:07:46,42.2738866667,-71.8119068333,160.1,0,10.00,100387,78.73,<400,20,10.94,0.27,47.01,9.67,49.41,991.90,164.15,-0.85
02/19/2023,15:07:47,42.2738866667,-71.8119068333,160.1,0,10.10,100386,78.98,<400,20,10.94,0.27,47.01,9.67,49.41,991.90,164.15,-0.85
02/19/2023,15:07:49,42.273887,-71.8119068333,160.2,0,10.00,100387,79.31,<400,20,10.94,0.27,47.01,9.65,49.39,992.10,162.46,-2.55
02/19/2023,15:07:51,42.273887,-71.8119068333,160.2,0,10.00,100375,78.98,<400,20,10.94,0.27,47.01,9.65,49.37,991.70,165.85,0.85
02/19/2023,15:07:55,42.2738868333,-71.8119066667,160.2,0,10.00,100381,78.56,<400,20,10.94,0.27,47.01,9.65,49.37,991.80,165.00,0.00
02/19/2023,15:07:57,42.2738868333,-71.8119066667,160.2,0,10.10,100378,79.06,<400,20,10.94,0.22,47.01,9.68,49.44,992.60,158.22,-6.80
02/19/2023,15:07:57,42.2738868333,-71.8119066667,160.2,0,10.20,100406,75.46,<400,20,10.94,0.04,47.01,9.72,49.51,993.60,149.76,-15.30
02/19/2023,15:07:58,42.2738863333,-71.8119066667,160.1,0,10.10,100412,76.29,<400,20,10.94,0.09,47.01,9.72,49.51,992.60,158.22,-6.80
02/19/2023,15:07:59,42.2738863333,-71.8119066667,160.1,0,10.10,100403,77.30,<400,20,10.94,0.12,46.90,9.69,49.46,992.10,162.46,-2.55
02/19/2023,15:08:02,42.2738863333,-71.8119066667,160.1,0,9.70,100374,79.15,<400,20,10.94,0.22,46.90,9.63,49.35,991.40,168.39,3.40
02/19/2023,15:08:03,42.2738863333,-71.8119066667,160.1,0,9.70,100378,80.57,<400,20,10.94,0.23,46.90,9.62,49.30,991.50,167.54,2.55
02/19/2023,15:08:04,42.2738866667,-71.8119066667,160.1,0,9.50,100354,81.24,<400,20,10.94,0.22,46.90,9.58,49.24,991.50,167.54,2.55
02/19/2023,15:08:06,42.2738866667,-71.8119066667,160.1,0,9.50,100375,79.65,<400,20,10.94,0.23,46.90,9.55,49.17,991.50,167.54,2.55
02/19/2023,15:08:08,42.2738866667,-71.8119066667,160.1,0,9.50,100357,81.24,<400,20,10.94,0.24,46.90,9.51,49.14,991.70,165.85,0.85
02/19/2023,15:08:10,42.2738866667,-71.8119068333,159.9,0,9.40,100373,79.56,<400,20,10.94,0.25,46.79,9.51,49.10,991.40,168.39,3.40
02/19/2023,15:08:12,42.2738866667,-71.8119068333,159.9,0,9.30,100376,79.73,<400,20,10.94,0.25,46.79,9.49,49.10,991.20,170.09,5.10
02/19/2023,15:08:13,42.2738866667,-71.8119068333,159.9,0,9.20,100356,82.17,<400,20,10.94,0.25,46.79,9.49,49.08,991.60,166.70,1.70
02/19/2023,15:08:14,42.2738866667,-71.8119068333,159.9,0,9.20,100368,79.98,<400,20,10.94,0.25,46.79,9.48,49.08,991.40,168.39,3.40
02/19/2023,15:08:18,42.2738871667,-71.8119068333,159.9,0,9.20,100370,79.65,<400,20,10.94,0.25,46.90,9.48,49.06,991.80,165.00,0.00
02/19/2023,15:08:23,42.2738871667,-71.8119068333,159.9,0,9.20,100352,80.57,<400,20,10.94,0.25,46.90,9.49,49.06,991.20,170.09,5.10
02/19/2023,15:08:23,42.2738871667,-71.8119068333,159.9,0,9.20,100365,80.32,<400,20,10.94,0.24,46.90,9.49,49.08,991.30,169.24,4.25
02/19/2023,15:08:24,42.2738871667,-71.8119068333,159.9,0,9.10,100372,82.08,<400,20,10.94,0.25,46.79,9.47,49.06,992.00,163.31,-1.70
02/19/2023,15:08:24,42.2738871667,-71.8119068333,159.9,0,9.10,100363,79.31,<400,20,10.94,0.24,46.90,9.49,49.06,991.50,167.54,2.55
02/19/2023,15:08:29,42.2738871667,-71.8119068333,159.9,0,9.20,100369,78.64,<400,20,10.94,0.24,46.90,9.49,49.06,991.60,166.70,1.70
02/19/2023,15:08:32,42.2738878333,-71.8119068333,159.9,0,9.20,100342,80.07,<400,20,10.94,0.24,46.90,9.49,49.08,991.40,168.39,3.40
02/19/2023,15:08:33,42.2738878333,-71.8119068333,159.9,0,9.20,100359,78.81,<400,20,10.94,0.24,46.90,9.49,49.08,991.40,168.39,3.40
